"","ISO","Cases_Resistance","Cases_Resilience","Cases_Reduction","Cases_R2_fit","Tests_Resistance","Tests_Resilience","Tests_Reduction","Tests_R2_fit","Deaths_Resistance","Deaths_Resilience","Deaths_Reduction","Deaths_R2_fit","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean","Stringency_Decay","Stringency_Background","Stringency_Adaptive","Population","Pop_Dens","Country_Size","Median_Age","GDP_per_Capita","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Trust","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"17","BGR",-3.3377252032649e-05,0.0143787584231388,0.472576750603656,0.887029103859239,-0.0535219046018273,0.0158762876857007,0.614647550641523,0.954774436456294,-1.21466025851827e-06,0.0128888993950338,0.327014218009479,0.848662362646305,207,186,234,41.8072435897436,38.8308510638298,42.3351320754717,-3.98725704427832,6948445,65.18,106603.942927278,44.7,18563.307,7.454,75.05,0.813,17.1,70,30,40,85,69,16
"18","BHR",-0.000313120194548253,0.011191405446147,0.327027027027027,0.940155495147988,-0.0663323902058901,0.00978117870900436,0.544721332265351,0.952215386561018,-1.59851150369979e-06,0.01071302027016,0.588235294117647,0.924012512709932,185,154,170,60.1212745098039,69.857,57.5773267326733,13.4038098159509,1701583,1935.907,878.959061566491,32.4,43290.705,2,77.29,0.846,NA,80,38,53,68,23,34
"19","BHS",-6.50988689071527e-06,0.0564543198283627,0.984375,0.964522697768564,NA,NA,NA,NA,-1.11888680934169e-06,0.0839106947269127,1,0.921948429989382,103,NA,101,NA,NA,NA,NA,393248,39.497,9956.4017520318,34.3,27717.847,2.9,73.92,0.807,NA,NA,NA,NA,NA,NA,NA
"20","BIH",-1.36307594302026e-05,0.0201290490961264,0.619856887298748,0.846325264258444,NA,NA,NA,NA,-9.87559493601438e-07,0.0522289721818129,0.777777777777778,0.959068389344804,98,NA,129,51.9709708737864,86.3557142857143,44.6358490566038,51.5863721804511,3280815,68.496,47897.9064470918,42.5,11713.895,3.5,77.4,0.768,9.6,NA,NA,NA,NA,70,44
"21","BLR",-9.86652903420256e-05,0.0317214515686078,0.879912476402952,0.965113183462429,-0.101987048642586,0.0260246421733823,0.871128359917939,0.900819793038735,-6.01101391306317e-07,0.0112632502357151,0.352112676056338,0.884663085509414,138,111,179,13.9769131832797,16.67,13.012576419214,8.70344827586207,9449321,46.858,201658.649536899,40.3,17167.967,11,74.79,0.808,40,NA,NA,NA,NA,81,15
"22","BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4230225080386,NA,NA,NA,397621,16.426,24206.8062827225,25,7824.362,1.3,74.62,0.708,NA,NA,NA,NA,NA,NA,NA
"23","BOL",-0.000132411219058909,0.0269153836345823,NA,0.974219521688641,-0.594351185718092,0.0137687819991256,0.827005470763286,0.962794335843908,-5.93847578036515e-06,0.0249511221569824,0.899019042123485,0.818187247596198,207,191,213,73.6762258064516,84.1236,66.6171891891892,17.5064108108108,11673029,10.202,1144190.25681239,25.4,6885.829,1.1,71.51,0.693,8.5,NA,NA,NA,NA,NA,NA
"24","BRA",-0.000217810541616626,0.00970831282084857,0.572293039305641,0.977931877523414,NA,NA,NA,NA,-5.07867426372078e-06,0.00920495800704163,0.644730991551801,0.944364107361631,215,NA,200,61.155,68.6603614457831,58.1744019138756,10.4607241400836,212559409,25.04,8488794.28913738,33.5,14103.452,2.2,75.88,0.759,6.5,69,38,49,76,44,59
"25","BRB",-9.60430941187524e-06,0.0338095214483889,0.985507246376812,0.884167279715592,NA,NA,NA,NA,-9.74350230190242e-07,0.077334632233503,1,0.93129140616407,90,NA,107,48.6711858974359,80.4217777777778,35.7993243243243,58.8116307189542,287371,664.463,432.486082746519,39.8,16978.068,5.8,79.19,0.8,NA,NA,NA,NA,NA,NA,NA
"26","BRN",-1.22519046454377e-05,0.072945299597445,1,0.78947448863366,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,40.7194249201278,55.931186440678,37.1859842519685,31.9990197740113,437483,81.347,5377.98566634295,32.4,71809.251,2.7,75.86,0.853,NA,NA,NA,NA,NA,NA,NA
"27","BTN",-2.38461817597445e-06,0.0508215218005434,0.717391304347826,0.920558466962368,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,67.5252287581699,83.33,58.3558163265306,30.5468181818182,771612,21.188,36417.4060789126,28.6,8708.597,1.7,71.78,0.612,NA,NA,NA,NA,NA,NA,NA
"28","BWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1241666666667,NA,NA,NA,2351625,4.044,581509.643916914,25.8,15807.374,1.8,69.59,0.717,NA,NA,NA,NA,NA,NA,NA
"29","CAF",-1.9545468474236e-05,0.0347180039468507,0.994915254237288,0.833002130641075,NA,NA,NA,NA,-3.8925297385131e-07,0.0520564849975773,1,0.943718774998619,166,NA,175,45.8449019607843,56.0274809160305,38.2225142857143,14.9126198049194,4829764,7.479,645776.708116058,18.3,661.24,1,53.28,0.367,NA,54,73,45,60,NA,NA
"30","CAN",-4.45062003213012e-05,0.0287427264222422,0.812901843120446,0.981254326407757,-0.087209822795784,0.0321878881509138,0.908235054954423,0.973033449564558,-4.26790657460304e-06,0.0334182457848778,0.968959523218277,0.952694803583085,116,101,122,56.0133546325879,71.0004545454545,52.0087044534413,37.5953481624758,37742157,4.037,9349060.44092148,41.4,44017.591,2.5,82.43,0.926,NA,39,80,52,48,36,68
"31","CHE",-0.000103560896621896,0.0690442588573112,0.980497166064176,0.992244227008812,-0.158346276704862,0.061734574576239,0.976379413136392,0.98013565038767,-5.77264068731861e-06,0.0550842791811161,0.991993594875901,0.961978951462385,89,91,101,43.3208626198083,66.7640909090909,37.0566801619433,44.569762550882,8654618,214.243,40396.2696564182,43.1,57410.166,4.53,83.78,0.944,57.1,34,68,70,58,74,66
"32","CHL",-0.00031027700105183,0.0118593440202263,0.721694327738176,0.840979903419259,-0.343945129475511,0.0185292846863886,0.84208534992261,0.941075927954505,-8.96202798368651e-06,0.0168276816337906,0.728227877655849,0.89533844261785,155,155,171,65.5078758169935,82.4493913043478,55.3074869109948,38.7143537103629,19116209,24.282,787258.421876287,35.4,22767.037,2.11,80.18,0.843,12.9,63,23,28,86,31,68
"33","CHN",-2.03681760348662e-06,0.0621722742035013,0.983067498055696,0.816661997597946,NA,NA,NA,NA,-6.83098561811152e-08,0.0763807526858164,0.970707892595606,0.986085455361103,36,NA,44,71.4318269230769,73.9806666666667,70.6252320675106,9.31999999999999,1439323774,147.674,9746629.56241451,38.7,15308.712,4.34,76.91,0.752,63.5,80,20,66,30,87,24
"34","CIV",-1.0256925443381e-05,0.018669951338327,0.93317563571851,0.934901571377618,-0.22496817988969,0.0158242148050751,0.892795427988784,0.961235530219043,-5.76231766482076e-08,0.0374254731055948,1,0.815120079467995,180,172,183,42.8768370607029,40.1940579710145,44.9924,-6.94942304164373,26378275,76.399,345269.898820665,18.7,3601.006,NA,57.78,0.492,NA,77,20,46,54,9,78
"35","CMR",-1.0297649381463e-05,0.0172368224466639,0.892888498683055,0.929274256029421,NA,NA,NA,NA,-2.21503432700476e-07,0.0373413730990914,0.979591836734694,0.9269784195047,162,NA,176,47.3121568627451,57.6446341463415,40.3673770491803,18.65506271777,26545864,50.885,521683.482362189,18.8,3364.926,1.3,59.29,0.556,NA,NA,NA,NA,NA,NA,NA
"36","COD",-1.50243290067226e-06,0.0208829439102596,0.876337693222354,0.978146126864,-0.321553011448482,0.0117472905104825,0.751207430340557,0.872337322869417,-4.153574903761e-08,0.0190919236601929,0.913978494623656,0.824369838295081,166,138,170,49.157868852459,57.4682568807339,44.5362755102041,8.14075688073395,89561404,35.879,2496206.80620976,17,808.133,NA,60.68,0.457,NA,NA,NA,NA,NA,NA,NA
"37","COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0545192307692,NA,NA,NA,5518092,15.405,358201.363193768,19,4881.406,NA,64.57,0.606,NA,NA,NA,NA,NA,NA,NA
"38","COL",-0.000209583246106883,0.0132381699921567,0.371752217700343,0.984183580193769,-0.328609447011188,0.0015303129017475,0.177582151490207,0.501577783307501,-6.20562309321932e-06,0.0131934818457055,0.474410945021535,0.953059642819002,225,240,222,67.9766666666667,78.4204761904762,66.3520740740741,12.5511165845649,50882884,44.223,1150597.74325577,32.2,13254.949,1.71,77.29,0.747,4.5,67,13,64,80,13,83
"39","COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869595,437.352,1988.31833397355,20.4,1413.89,2.2,64.32,0.503,NA,80,38,53,68,23,34
"40","CPV",-0.000174248365072627,0.010048820857667,0.388131938709973,0.948486181528948,NA,NA,NA,NA,-2.51803995769693e-06,0.0465360222863043,0.904761904761905,0.959547904862705,285,NA,284,61.231862745098,70.653488372093,59.6914448669202,10.9620435051729,555988,135.58,4100.81132910459,25.7,6222.554,2.1,72.98,0.654,NA,77,20,46,54,9,78
"41","CRI",-0.000234843586146678,0.00410584291726815,0.23548883241942,0.816356695431976,-0.496319083860872,0.00347546053006501,0.109173018852994,0.632360686993063,-3.55704642652285e-06,0.0107031546176276,0.428256070640177,0.952071913743851,262,249,276,58.1238562091503,59.31,57.8753754940711,1.30920833333334,5094114,96.079,53020.056411911,33.6,15524.995,1.13,80.28,0.794,NA,35,15,21,86,NA,NA
"42","CUB",-4.29077846375299e-06,0.0275481286323036,0.897942386831276,0.943577281742649,-0.0362735207684548,0.0325037388961187,0.951753982301338,0.974441327561329,-1.94232769964127e-07,0.0496057785185635,0.981818181818182,0.90454754258871,110,94,109,65.0733653846154,90.3633333333333,53.7535265700483,59.7649242424242,11326616,110.408,102588.725454677,43.1,NA,5.2,78.8,0.777,NA,NA,NA,NA,NA,NA,NA
"43","CYP",-2.92271140850714e-05,0.0393042851190771,0.9609375,0.935499974187706,-0.01880231413097,0.0331265590927352,0.953961996886485,0.801341574668787,-6.39343120610938e-07,0.0285826827261663,1,0.815992281997032,94,100,91,55.0019230769231,82.9401204819277,44.8758515283843,59.4841482597055,875899,127.657,6861.34720383528,37.3,32415.132,3.4,80.98,0.869,6.6,NA,NA,NA,NA,NA,70
"44","CZE",-2.06443525631101e-05,0.0352568192961596,0.770037995295821,0.941084733764417,-0.064189575192523,0.0407651025967338,0.873229598548711,0.978840580186493,-7.35830912779571e-07,0.0269954665541085,0.913705583756345,0.894863816852737,90,76,100,46.2688461538462,64.3986274509804,42.726245210728,30.9687745098039,10708982,137.176,78067.4607803114,43.3,32605.906,6.63,79.38,0.888,21.1,57,58,57,74,70,29
"45","DEU",-5.52139195641838e-05,0.0437065967416285,0.926139851795488,0.989746181913784,NA,NA,NA,NA,-2.45679527265039e-06,0.0308491994946499,0.981927710843373,0.907735915217005,89,NA,102,53.241891025641,69.8086567164179,48.711387755102,44.4762686567164,83783945,237.016,353494.890640294,46.6,45229.245,8,81.33,0.936,43.4,35,67,66,65,83,40
"46","DJI",-0.000123157645429868,0.0412411357215242,0.995397764628534,0.810207176195446,NA,NA,NA,NA,-1.376515432155e-06,0.0371336391908594,1,0.874357893498499,149,NA,153,49.7335922330097,55.095,47.2434597156398,7.26956692913386,988002,41.285,23931.2583262686,25.4,2705.406,1.4,67.11,0.476,NA,64,27,41,52,32,40
"47","DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9194444444444,NA,NA,NA,71991,98.567,730.376292268203,NA,9673.367,3.8,75,0.715,NA,NA,NA,NA,NA,NA,NA
"48","DNK",-3.96533063499328e-05,0.0270110221909909,0.902124695228143,0.968853027859838,-0.111440918416343,0.0407748532028442,0.985786351418573,0.963577992835609,-2.26511398167502e-06,0.0441602843491105,0.981707317073171,0.988008802328874,100,76,103,47.9008626198083,62.517191011236,42.0934821428571,32.8407807548257,5792203,136.52,42427.5051274538,42.3,46682.515,2.5,80.9,0.929,73.9,18,74,16,23,35,70
"49","DOM",NA,NA,NA,NA,-0.301066024759285,0.00941494964840572,0.421024562347151,0.910681176589237,-8.55464797623578e-07,0.0142746365072121,0.495689655172414,0.938635331964268,NA,93,100,67.5096078431373,NA,63.293380952381,NA,10847904,222.873,48673.0290344726,27.6,14600.861,1.6,74.08,0.736,NA,NA,NA,NA,NA,13,54
"50","DZA",-3.39239365412586e-06,0.0257762046211098,0.219682710406023,0.978247655686229,NA,NA,NA,NA,-3.46628015210493e-07,0.0443560494747072,0.615789473684211,0.943173563014907,121,NA,102,63.2641666666667,81.0172727272727,58.0333189655172,43.1715151515152,43851043,17.348,2527729.01775421,29.1,13913.839,1.9,76.88,0.754,NA,NA,NA,NA,NA,26,32
"51","ECU",-6.10234279087641e-05,0.0454191392893774,0.751448952296032,0.815924634133348,-0.995539568345324,0.0364984421722988,0.767346143723866,0.869588560100518,-5.42536272052581e-06,0.0341145998182587,0.619724195570414,0.936806489884643,112,102,130,62.795143769968,89.53,60.3731707317073,46.8427777777778,17643060,66.939,263569.219737373,28.1,10581.936,1.5,77.01,0.752,5.8,NA,NA,NA,NA,NA,NA
"52","EGY",-1.45667532745562e-05,0.028449657432282,0.919311991842649,0.871259875603144,NA,NA,NA,NA,-8.13020817642333e-07,0.0187912268641025,0.873076923076923,0.90661497399385,172,NA,177,57.2747756410256,62.8814705882353,54.5515238095238,12.658537254902,102334403,97.999,1044239.25754344,25.3,10550.206,1.6,71.99,0.696,7.3,NA,NA,NA,NA,7,4
"53","ERI",-4.28600391323436e-07,0.110941461950286,1,0.951963856086332,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,71.3536601307189,93.52,64.9024463519313,76.327972972973,3546427,44.304,80047.557782593,19.3,1510.459,0.7,66.32,0.44,NA,64,27,41,52,32,40
"54","ESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597330,NA,NA,28.4,NA,NA,70.26,NA,NA,80,38,53,68,23,34
