"","ISO","Cases_Resistance","Cases_Resilience","Cases_Reduction","Cases_R2_fit","Tests_Resistance","Tests_Resilience","Tests_Reduction","Tests_R2_fit","Deaths_Resistance","Deaths_Resilience","Deaths_Reduction","Deaths_R2_fit","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean","Stringency_Decay","Stringency_Background","Stringency_Adaptive","Population","Pop_Dens","Country_Size","Median_Age","GDP_per_Capita","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Trust","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"65","GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8402875399361,NA,NA,NA,13132792,51.755,253749.241619167,19,1998.926,0.3,61.6,0.459,NA,77,20,46,54,9,78
"66","GMB",-3.90455603261355e-05,0.053867197728444,0.982619754133107,0.976873092829511,NA,NA,NA,NA,-1.44000158896727e-06,0.03587482596362,0.98631636562671,0.890816807784705,223,NA,228,56.6409584664537,70.4541111111111,51.0661434977578,17.852320066335,2416664,207.566,11642.8702195928,17.5,1561.767,1.1,62.05,0.46,NA,77,20,46,54,9,78
"67","GNB",-2.14634364465818e-05,0.018909646876917,0.992424242424242,0.889078294357724,NA,NA,NA,NA,-3.25203582523966e-07,0.00300501855240117,0.9375,0.0126201325979384,129,NA,168,NA,NA,NA,NA,1967998,66.191,29732.1085948241,19.4,1548.675,NA,58.32,0.455,NA,77,20,46,54,9,78
"68","GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402985,45.194,31043.6119838917,22.4,22604.873,2.1,58.74,0.591,NA,NA,NA,NA,NA,NA,NA
"69","GRC",-6.62761478015661e-06,0.0422569534469588,0.868558193398958,0.984808935466962,-0.0737803519714859,0.0606118554377385,0.966279256792734,0.994580900697769,-3.64576377599814e-07,0.0299388994208294,0.968421052631579,0.966927143912208,91,84,92,54.0513418530351,79.185,49.0438697318008,53.7026811594203,10423056,83.479,124858.419482744,45.3,24574.382,4.21,82.24,0.87,8.4,60,35,57,112,45,50
"70","GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112519,317.132,354.801786007089,29.4,13593.877,3.7,72.4,0.772,NA,NA,NA,NA,NA,NA,NA
"71","GTM",-5.89342218418206e-05,0.00617199725984797,0.565334236247916,0.89274921378723,-0.384075469268167,0.00900947806121993,0.656687614923525,0.969576649616438,-2.13222389221619e-06,0.0144621310169311,0.659685863874346,0.977968480275314,194,188,201,70.0167202572347,70.3863043478261,69.7219075144509,0.547060161779569,17915567,157.834,113508.920764854,22.9,7423.808,0.6,74.3,0.65,18,95,6,37,101,NA,NA
"72","GUY",-7.6841025275917e-05,0.0177568804692383,0.43216412971542,0.915750767835801,NA,NA,NA,NA,-2.28844880040785e-06,0.0165956886991936,0.598765432098765,0.961701421246628,272,NA,272,65.3575585284281,75.6277419354839,64.1695895522388,12.0377819354839,786559,3.952,199028.087044534,26.3,7435.047,1.6,69.91,0.654,NA,NA,NA,NA,NA,NA,NA
"73","HND",-7.81494835535137e-05,0.00248152387840299,0.569893028784042,0.343704012854558,NA,NA,NA,NA,-2.79062028502289e-06,0.0104673408814159,0.795844531734546,0.921229193568223,190,NA,201,77.79696485623,88.2277952755906,70.6748387096774,19.306366704162,9904608,82.805,119613.64651893,24.9,4541.795,0.7,75.27,0.617,NA,NA,NA,NA,NA,NA,NA
"74","HRV",-1.53558793238346e-05,0.0751373320246162,0.99238578680203,0.956348615597668,-0.147239263803681,0.0641532717853888,0.992322185586434,0.98539713786489,-6.23589008074504e-07,0.055619038482015,0.9375,0.97269465827954,92,75,114,44.960192926045,81.6703125,35.4482591093117,51.8410267857143,4105268,73.726,55682.7713425386,44,22669.797,5.54,78.49,0.831,13.6,73,33,40,80,58,33
"75","HTI",-1.42108775304575e-05,0.0190341067626712,0.958775610960257,0.96230329997015,NA,NA,NA,NA,-2.104795487108e-07,0.025536978522782,1,0.821197893933254,157,NA,158,49.3367320261438,46.057358490566,52.8838095238095,-7.32990076869322,11402533,398.448,28617.3678874031,24.3,1653.173,0.7,64,0.498,NA,NA,NA,NA,NA,NA,NA
"76","HUN",-8.79885304362678e-06,0.0417637737108942,0.931294117647059,0.985901531105837,-0.0446748516712683,0.0424253606852535,0.950102775832866,0.986683465176929,-1.19250337720683e-06,0.0418677248949994,0.986111111111111,0.965023327198816,110,94,110,49.5350479233227,65.9594117647059,44.9764489795918,32.2375935828877,9660350,108.043,89412.0859287506,43.4,26777.561,7.02,76.88,0.838,27.2,46,80,88,82,58,31
"77","IDN",-1.53316192022772e-05,0.00628601287587905,0.138145155905722,0.916130440070501,-0.155654896799888,0.00256269863644551,0.224758385046702,0.865136447620779,-4.17806694654719e-07,0.0041590312215601,0.208260413020651,0.897295379985783,278,241,269,56.2969102990033,56.445,56.2829090909091,-0.270078124999998,273523621,145.725,1876984.87562189,29.3,11188.744,1.04,71.72,0.694,4.6,78,14,46,48,62,38
"78","IND",-6.44348387342262e-05,0.0126051115936559,0.54437459542449,0.965077860796555,-0.0849141369321584,0.0116774503096762,0.533056128343,0.950587151670756,-8.16519144611269e-07,0.013970437756054,0.559763202405563,0.954212183185706,257,250,257,67.4123003194888,68.5965333333333,67.0391176470588,1.58219290780141,1380004385,450.419,3063823.6508673,28.2,6426.674,0.53,69.66,0.64,NA,77,48,56,40,51,26
"79","IRL",-0.0001281138386438,0.0650463182601403,0.984381915902624,0.98999066356809,-0.158514665144114,0.0495326486191928,0.985632211040469,0.985798657607804,-8.83795118307844e-06,0.0418979752058064,0.989000916590284,0.959109873917149,104,101,109,58.0753921568627,82.9812162162162,44.7481818181818,51.949508899143,4937796,69.874,70667.1437158314,38.7,67335.293,2.96,82.3,0.938,NA,28,70,68,35,24,65
"80","IRN",-2.68808265379121e-05,0.03061089974059,0.44700150589069,0.960447161189953,NA,NA,NA,NA,-1.61251623097476e-06,0.0201035778017942,0.592734790313054,0.986170565465481,95,NA,87,48.4372312703583,54.1666666666667,47.9513427561837,29.3311872146119,83992953,49.831,1685556.24009151,32.4,19082.62,1.5,76.68,0.798,14.8,58,41,43,59,14,40
"81","IRQ",-0.000107035606411665,0.00866931329447424,NA,0.938754094700182,-0.198366233023852,0.00942780575620625,NA,0.70293326135172,-2.43744154857792e-06,0.00541636679449019,NA,0.929262003938257,257,263,188,71.0932352941176,58.162676056338,74.999914893617,-16.837238837279,40222503,88.125,456425.565957447,20,15663.986,1.4,70.6,0.685,11,NA,NA,NA,NA,25,17
"82","ISL",-0.000175238095238095,0.128440934333361,0.996655518394649,0.978103936117601,-0.0623853211009174,0.0845557907402529,0.990471161714002,0.942089607619367,-1.40659340659341e-06,0.0556063871365439,1,0.798476458451474,88,75,84,40.6837179487179,52.5132075471698,36.0510550458716,29.0965408805031,341250,3.404,100249.706227967,37.3,46482.958,2.91,82.99,0.935,62.3,NA,NA,NA,NA,28,67
"83","ISR",-5.55805812715808e-05,0.07562033916902,0.949447077409163,0.944664444169117,-0.0725084554077267,0.0542624067259383,0.948695054679662,0.951830850015507,-8.27215768488648e-07,0.0429346982003114,0.88268156424581,0.985938589991793,96,80,103,60.1021086261981,85.78725,52.6588105726872,48.3388716216216,8655541,402.606,21498.787896852,30.6,33132.32,2.99,82.97,0.903,NA,13,54,47,81,38,NA
"84","ITA",-7.98950372456486e-05,0.0373494678767529,0.96032790957645,0.973403101270836,-0.242785376276803,0.0398368774370935,0.981887416600274,0.965414280276829,-1.12864599462656e-05,0.0410381405842943,0.98968347010551,0.994209974073787,89,71,91,60.0896753246753,69.5000980392157,55.430145631068,18.5596502780217,60461828,205.859,293705.050544305,47.9,35220.084,3.18,83.51,0.88,26.6,50,76,70,75,61,30
"85","JAM",-5.65994216457666e-06,0.0454107496544146,0.818615751789976,0.900046460921616,-0.127086811352254,0.0433086537445023,0.926482368502087,0.933768393712331,-8.10492911395226e-08,0.0434480362597879,1,0.717081757687248,115,100,102,64.4729431438127,85.8490476190476,58.7854205607477,42.332380952381,2961161,266.879,11095.5189430416,31.4,8193.571,1.7,74.47,0.732,NA,45,39,68,13,NA,NA
"86","JOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4788562091503,NA,NA,NA,10203140,109.285,93362.675573043,23.2,8337.49,1.4,74.53,0.735,15.9,NA,NA,NA,NA,16,43
"87","JPN",-3.45708606102805e-06,0.0640904312869779,0.913640106120209,0.976538691562954,-0.126080112419519,0.0576155365363802,0.918922954816571,0.959428595616731,-1.54969551724796e-07,0.0464657158561723,0.96530612244898,0.973471457862713,103,96,121,34.1089808917197,44.1474468085106,31.9043378995434,14.1007394914375,126476458,347.778,363670.094140515,48.2,39002.223,13.05,84.63,0.909,33.7,54,46,95,92,88,42
"88","KAZ",-0.000126565323727957,0.0571692201955211,0.972513970241702,0.965776400511704,-0.128969153811268,0.052075678025092,0.966882812529961,0.962156584864323,-1.90448729907752e-06,0.0406603721821196,0.922818791946309,0.946478133105627,194,192,211,68.0329260450161,80.5185135135135,64.1344725738397,19.5266530483972,18776707,6.681,2810463.55336028,30.6,24055.588,6.7,73.6,0.8,22.8,NA,NA,NA,NA,NA,NA
"89","KEN",-1.16649588163202e-05,0.0419936376161302,0.781136407116893,0.986870112624048,-0.117536386080655,0.0211722846227324,0.591749747643453,0.963713698629984,-1.8374114072005e-07,0.0349547474924333,0.663967611336032,0.977368794405721,215,206,221,65.4188178913738,71.320243902439,64.5292647058824,7.64640970554784,53771300,87.324,615767.715633732,20,2993.028,1.4,66.7,0.59,NA,64,27,41,52,32,40
"90","KGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.507459807074,NA,NA,NA,6524191,32.333,201781.183311168,26.3,3393.474,4.5,71.45,0.672,12.8,NA,NA,NA,NA,66,39
"91","KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8945307443366,NA,NA,NA,16718971,90.672,184389.568995941,25.6,3645.07,0.8,69.82,0.582,NA,NA,NA,NA,NA,NA,NA
"92","KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53192,212.865,249.886078030677,NA,24654.385,2.3,76.23,0.778,NA,NA,NA,NA,NA,NA,NA
"93","KOR",-6.34455204796222e-06,0.0620870415080637,0.962739793408755,0.975127372737686,-0.0420454781866977,0.0472795832113156,0.950938262091429,0.979489144439991,-1.03766038167606e-07,0.0356855140169129,0.932330827067669,0.942863491276111,63,52,88,48.8989841269841,66.6353703703704,43.8957798165138,38.0388587424634,51269183,527.967,97106.7945534475,43.4,35938.374,12.27,83.03,0.903,32.9,60,18,39,85,100,29
"94","KWT",-0.000203589081814271,0.00127790978131438,0.352732793522267,0.291902789197325,-0.239322471520614,0.00373175366172694,0.525646637622619,0.91988563255604,-1.70469326877978e-06,0.0107526128789588,0.708791208791209,0.817838151921275,142,149,146,66.4359424920128,75.8842424242424,58.8670860927152,18.1208257575758,4270563,232.128,18397.44882134,33.7,65530.537,2,75.49,0.803,NA,80,38,53,68,23,34
"95","LAO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6509935897436,NA,NA,NA,7275556,29.715,244844.556621235,24.4,6397.36,1.5,67.92,0.601,NA,NA,NA,NA,NA,NA,NA
"96","LBN",-2.92435273788862e-06,0.0381621244271366,0.587174348697395,0.822852544542012,NA,NA,NA,NA,-9.962724758338e-08,0.0455187229364065,0.941176470588235,0.900838901599991,88,NA,81,58.8708012820513,84.6444117647059,55.7186330935252,59.180926916221,6825442,594.561,11479.8010633055,31.1,13367.565,2.9,78.93,0.757,9.9,80,38,53,68,23,34
"97","LBR",-1.20213291596122e-06,0.0118159343891557,0.296052631578947,0.634476039367085,NA,NA,NA,NA,-1.26540306943286e-07,0.013949822539183,0.625,0.768487752983862,119,NA,106,58.9150980392157,87.96,52.6780729166667,50.3870103092783,5057677,49.127,102951.065605472,19.2,752.788,0.8,64.1,0.435,NA,77,20,46,54,9,78
"98","LBY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1955271565495,NA,NA,NA,6871287,3.623,1896573.83383936,29,17881.509,3.7,72.91,0.706,NA,80,38,53,68,23,34
"99","LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183629,293.187,626.320403019233,34.9,12951.839,1.3,76.2,0.747,NA,NA,NA,NA,NA,NA,NA
"100","LIE",-8.07614652437265e-05,0.11259911030354,1,0.96771740086641,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,38137,237.012,160.907464600948,NA,NA,2.397,82.49,0.916,NA,NA,NA,NA,NA,NA,NA
"101","LKA",-1.23474951256815e-06,0.011345027276291,0.800302571860817,0.285829999706123,-0.0831185567010309,0.0141158322170331,0.967144775210487,0.692204852830266,-1.30760160181196e-08,0.0209649306938076,1,0.617877664588799,121,64,86,48.5665814696486,62.7575757575758,42.0015887850467,14.9659595959596,21413250,341.955,62620.0815896829,34.1,11669.077,3.6,76.98,0.77,NA,NA,NA,NA,NA,NA,NA
"102","LSO",-1.17073061432549e-05,0.0114224471839255,0.840510366826156,0.665121631698336,NA,NA,NA,NA,-4.48126550937985e-07,0.0207819362254236,1,0.51150888488357,202,NA,217,53.4030990415335,58.6293023255814,49.7390760869565,8.83424677002584,2142252,73.562,29121.720453495,22.2,2851.153,NA,54.33,0.52,NA,NA,NA,NA,NA,NA,NA
"103","LTU",-1.51343115045379e-05,0.0254972792130448,0.919417475728155,0.852541796725538,-0.0279487877962408,0.0305167317025667,0.963498116319393,0.691669132450846,-5.14272721027987e-07,0.031837947704679,0.971428571428571,0.874578999475882,96,91,106,45.3028246753247,65.6675,37.1569545454545,38.4158783783784,2722291,45.135,60314.4123185998,43.5,29524.265,6.56,75.93,0.858,31.7,42,60,19,65,82,16
"104","LUX",-0.000201030071440439,0.0573887610938389,0.970756516211062,0.981015625925425,-0.174505436918643,0.0582870156219452,0.991831361712909,0.967868560237439,-4.34521451301647e-06,0.0640687528539975,1,0.859425407949297,88,72,98,41.3111501597444,66.5007462686567,35.5550909090909,46.663776571687,625976,231.447,2704.61920007604,39.7,94277.965,4.51,82.25,0.904,NA,40,60,50,70,64,56
"105","LVA",-1.23210557511868e-05,0.0344029666256463,0.944922547332186,0.963679136240203,-0.0287300664988056,0.0364792884233003,0.969097585374772,0.97576030609168,-3.18099546071948e-07,0.0202239215328379,1,0.780060690470185,89,79,109,44.1977597402597,63.5633720930233,36.6957657657658,45.0166556751128,1886202,31.212,60431.9492502884,43.9,25063.846,5.57,75.29,0.847,NA,44,70,9,63,69,13
"106","MAR",-4.37706739627182e-06,0.0280292856393158,0.60609061648923,0.959867809670929,-0.232145872024312,0.0505311434604785,0.979734015067508,0.917773851831644,-1.46299603490145e-07,0.0401551688629616,0.918518518518519,0.979508493457533,118,73,97,62.6275961538462,93.52,58.2143956043956,51.6497916666667,36910558,80.08,460921.053946054,29.6,7485.013,1.1,76.68,0.667,NA,70,46,53,68,14,25
"107","MCO",-8.76567118540414e-05,0.059927907039242,0.988372093023256,0.712265084670234,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,16.5806896551724,22.22,15.005,7.215,39244,19347.5,2.02837575914201,NA,NA,13.8,86.75,NA,NA,NA,NA,NA,NA,NA,NA
"108","MDA",-7.58261788717447e-05,0.0174066605848048,0.259578919837845,0.946292982629977,NA,NA,NA,NA,-2.22114084834194e-06,0.00250075911982498,0.254464285714286,0.526476278584224,173,NA,179,56.0764169381107,80.56,54.6411724137931,23.8921854304636,4033963,123.655,32622.7245157899,37.6,5189.972,5.8,71.9,0.7,NA,NA,NA,NA,NA,71,19
"109","MDG",-1.14910903062108e-05,0.0294974610913064,0.993505133040017,0.965652795212087,-0.474662729042218,0.0233681446594669,0.808964408109687,0.984541570045715,-1.51673724971985e-07,0.0280085513693765,0.984126984126984,0.941863421971988,202,197,209,51.4162057877814,51.2564122137405,51.5325,-0.276087786259545,27691019,43.951,630042.979681919,19.6,1416.44,0.2,67.04,0.519,NA,64,27,41,52,32,40
"110","MDV",-8.73937640368371e-05,0.0278031651589221,0.615580016934801,0.877342897765248,-0.0969802726923191,0.0374573240065565,0.776959346791082,0.961027460157914,-3.69999001002697e-07,0.0382163194851968,0.8,0.546768315375377,140,132,145,NA,NA,NA,NA,540542,1454.433,371.651358295638,30.6,15183.616,NA,78.92,0.717,NA,NA,NA,NA,NA,NA,NA
"111","MEX",-5.15571089992936e-05,0.00646781127251854,0.315178866925414,0.973059298935048,-0.53047736592746,0.000519335368065818,0.298122530743386,0.0196616209810471,-5.15338410558875e-06,0.0042439702738701,0.457949551502017,0.802793755634844,201,216,179,55.7281402439024,71.7283606557377,52.07265917603,26.2490571731506,128932753,66.444,1940472.47306002,29.3,17336.469,1.38,75.05,0.774,10.5,81,30,69,82,24,97
"112","MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59194,295.15,200.55564966966,NA,3819.202,2.7,73.7,0.708,NA,NA,NA,NA,NA,NA,NA
"113","MKD",-1.99867522967486e-05,0.0330191708322319,0.528338136407301,0.953043663086564,-0.0952337389076937,0.0159255522479905,0.408814196277336,0.955399569277571,-1.13277462584838e-06,0.013966629406388,0.406779661016949,0.656722780980331,101,102,108,NA,NA,NA,NA,2083380,82.6,25222.5181598063,39.1,13111.214,4.28,75.8,0.757,15.1,NA,NA,NA,NA,62,35
"114","MLI",-1.80930819935613e-06,0.0372069414145325,0.879912663755459,0.921929871343091,NA,NA,NA,NA,-1.00736591885549e-07,0.0503333250229024,0.980392156862745,0.973320034421484,155,NA,152,41.5542156862745,52.78,38.9844578313253,16.3429323308271,20250834,15.196,1332642.40589629,16.4,2014.306,0.1,59.31,0.427,NA,NA,NA,NA,NA,20,43
"115","MLT",-3.08013561655935e-05,0.0315764431191124,0.979411764705882,0.860429051516122,-0.031582054309327,0.0316901875028339,0.989117986065736,0.936818463862775,NA,NA,NA,NA,90,70,NA,NA,NA,NA,NA,441539,1454.037,303.66421212115,42.4,36513.323,4.485,82.53,0.878,NA,56,59,47,96,47,66
"116","MMR",-2.40508170275374e-05,0.00683473960080029,0.108879718783432,0.833782644449167,NA,NA,NA,NA,-5.88864570963088e-07,0.0139310320195691,0.294631710362048,0.980853853021505,291,NA,287,65.4900958466454,79.7844444444444,64.6178983050848,16.6175299463032,54409794,81.721,665799.415083026,29.1,5591.597,0.9,67.13,0.578,15.1,NA,NA,NA,NA,NA,NA
"117","MNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628062,46.28,13570.9161624892,39.1,16409.288,3.861,76.88,0.814,21.7,NA,NA,NA,NA,75,20
"118","MNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5033226837061,NA,NA,NA,3278292,1.98,1655703.03030303,28.6,11840.846,7,69.87,0.741,NA,NA,NA,NA,NA,75,20
"119","MOZ",-5.73340284657692e-06,0.0106627510082183,0.533854166666667,0.936755186522085,-0.124053189698704,0.0101324548916881,0.473502591809343,0.848988366213418,-4.8631542002215e-08,0.0246484690528022,0.394736842105263,0.890380729451009,267,263,265,51.7434615384615,59.3365151515152,49.7063008130081,9.65786209029066,31255435,37.728,828441.343299406,17.7,1136.103,0.7,60.85,0.437,NA,64,27,41,52,32,40
"120","MRT",-3.15291870803457e-05,0.0260742944977575,0.955798090040928,0.966903582980129,-0.16808071543224,0.0101786426695814,0.835327920773872,0.849470062281768,-8.34469617133296e-07,0.0693217802393961,0.989690721649485,0.86338462223971,173,173,165,39.1952287581699,32.520701754386,43.1582291666667,-17.5798942721041,4649660,4.289,1084089.53135929,20.3,3597.633,NA,64.92,0.52,NA,80,38,53,68,23,34
"121","MUS",-1.00961890031743e-05,0.164073341716938,1,0.921457636620452,NA,NA,NA,NA,-2.83070719715168e-07,0.069649686597998,1,0.904865073373759,90,NA,88,32.0034405144695,82.41,24.5633579335793,70.5904411764706,1271767,622.962,2041.48407125956,37.4,20292.745,3.4,74.99,0.79,NA,NA,NA,NA,NA,NA,NA
"122","MWI",-4.96603363677541e-06,0.0351378036499508,0.963789473684211,0.910318279755604,-0.194749643546087,0.0294493155033733,0.959483200973246,0.951987594014848,-2.15369037721207e-07,0.0385544242206432,1,0.842187047714405,195,196,205,47.7868370607029,57.5215652173913,42.1328282828283,16.6600045237497,19129955,197.519,96851.2143135597,18.1,1095.042,1.3,64.26,0.477,NA,64,27,41,52,32,40
"123","MYS",-4.89031730150882e-06,0.0280645315138742,0.958301743745262,0.827248733166007,-0.129154565989029,0.0384388171243509,0.993129158920688,0.816071204121394,-9.76333249479901e-08,0.0401679670408751,1,0.94674136910386,92,71,92,56.2153674121406,67.6620212765958,51.3021917808219,35.9974498480243,32365998,96.254,336256.134809982,29.9,26808.164,1.9,76.16,0.802,19.6,104,26,50,36,41,57
"124","NAM",-8.31983426449359e-05,0.0251374907752398,0.810406811731315,0.966959396328325,-0.162618335824614,0.0168491077219928,0.72788784444269,0.967075060402763,-1.07048009458007e-06,0.0445091613921196,0.955882352941177,0.961321826903163,236,235,235,45.5425878594249,47.8923684210526,44.7890717299578,1.936901131333,2540916,3.078,825508.771929825,22,9541.808,NA,63.71,0.647,NA,NA,NA,NA,NA,NA,NA
"125","NER",-1.08565271109955e-06,0.0219897970985053,0.984779299847793,0.90220549623797,NA,NA,NA,NA,-5.2878062032246e-08,0.0482256009234428,1,0.904394545224521,103,NA,125,25.1782636655949,32.6718055555556,18.7167664670659,13.570200617284,24206636,16.955,1427698.96785609,15.1,926,0.3,62.42,0.354,NA,77,20,46,54,9,78
"126","NGA",-2.87940811679224e-06,0.017363287804482,0.79216928364445,0.951231677651242,-0.247008257387955,0.0186221481532088,0.895070386575676,0.892453598041999,-5.53023325888394e-08,0.0234092401924739,0.936842105263158,0.900856665226125,180,169,179,58.1856862745098,65.152,54.2760204081633,10.0712405063291,206139587,209.588,983546.705918278,18.1,5338.454,NA,54.69,0.532,13,NA,NA,NA,NA,13,84
"127","NIC",-9.32289177505384e-06,0.0120857620853677,NA,0.936765879058567,NA,NA,NA,NA,-2.83792690043737e-07,0.0166894179962444,NA,0.940891075024214,155,NA,148,10.3691318327974,11.9065168539326,8.31157894736842,3.59493790656416,6624554,51.667,128216.34699131,27.3,5321.444,0.9,74.48,0.658,4.2,NA,NA,NA,NA,NA,NA
"128","NLD",-6.16287030548753e-05,0.0315791227458676,0.934545454545455,0.952274229919037,NA,NA,NA,NA,-8.02807234112561e-06,0.0549075029664827,0.990694969467869,0.993534107440639,97,NA,102,50.4023322683706,69.6041379310345,43.0104867256637,44.9376045977012,17134873,508.544,33693.9832148251,43.2,48472.545,3.32,82.28,0.931,58.5,NA,NA,NA,NA,NA,NA
"129","NOR",-3.81093483744131e-05,0.0309890623293052,0.958760890609874,0.910508122589789,-0.0753093311005675,0.0341780368467814,0.972343622336118,0.92365293823567,-1.24694673287044e-06,0.0344532147571433,0.994082840236686,0.877088556657266,81,91,101,40.3805825242718,57.6325225225225,30.7090404040404,40.385912353031,5421242,14.462,374861.153367446,39.7,64800.057,3.6,82.4,0.953,72.1,31,69,8,50,35,55
"130","NPL",-1.5783472232099e-05,0.0459469342003682,0.672697225363138,0.961588033844658,-0.0814834925375267,0.0370882992394144,0.615333550768997,0.966234012860396,-2.74566795374428e-08,0.0110753332631622,0.35,0.588331179599983,172,173,166,70.9885942492013,92.59,68.866350877193,27.8548666666667,29136808,204.43,142527.065499193,25,2442.804,0.3,70.78,0.574,NA,NA,NA,NA,NA,NA,NA
"131","NZL",-1.10654130565653e-05,0.109315173794966,0.999250374812594,0.986568131906782,-0.0260450421257291,0.100118566537281,0.999413494083341,0.967111079848681,-1.57603334388861e-07,0.0724807355680567,1,0.859207170488784,93,78,109,39.2512779552716,74.83,30.8136363636364,42.7902816901408,4822233,18.206,264870.537185543,37.9,36085.843,2.61,82.29,0.917,56.6,22,79,58,49,33,75
"132","OMN",-0.000272673403279115,0.0601652970353372,0.875614030047973,0.960968955930379,NA,NA,NA,NA,-1.90341090450791e-06,0.00917417466479948,0.320987654320988,0.76864452320646,195,NA,207,68.9311501597444,90.4288095238095,68.9665094339623,25.043375997798,5106622,14.98,340895.994659546,30.7,37960.709,1.6,77.86,0.821,NA,80,38,53,68,23,34
"133","PAK",-2.23591284389135e-05,0.0341357241388138,0.909900059931646,0.973287078140855,-0.216060290074889,0.0282747127034277,0.91764411027698,0.964959164956642,-4.49811904062889e-07,0.0380032055011559,0.944444444444444,0.981961819745828,163,158,171,57.3399679487179,59.246511627907,56.6144690265487,0.500057727197756,220892331,255.573,864302.297191018,23.5,5034.708,0.6,67.27,0.562,23.3,55,14,50,70,50,0
"134","PAN",-4.62597293759479e-05,0.00442663707368714,0.149098196392786,0.459980220717924,-0.25514919461315,0.0163935285522258,0.415049949577276,0.941687915732432,-1.38130254048422e-06,0.0118100169778182,0.208053691275168,0.905158905290936,110,96,118,67.9551757188498,93.52,61.0052914798206,55.7061363636364,4314768,55.133,78261.077757423,29.7,22267.037,2.3,78.51,0.789,NA,95,11,44,86,NA,NA
"135","PER",-0.000152513147125581,0.0152474721260535,0.320547901619524,0.953235507160399,-1.29748586054576,0.0158711492087675,0.480720990878944,0.934765193175039,NA,NA,NA,NA,153,153,NA,71.7098083067093,89.81,63.5719318181818,31.6057251908397,32971846,25.129,1312103.38652553,29.1,12236.706,1.6,76.74,0.75,4.2,64,16,42,87,25,46
"136","PHL",-3.82832493399751e-05,0.0099058799832465,0.624461619350919,0.990691100793201,-0.131010050791097,0.0084114897309735,0.601552971234329,0.972799269778819,-6.90630139316471e-07,0.00966469515627595,0.531234269606363,0.934378795574631,224,224,250,71.1206862745098,69.8173076923077,71.7917326732673,-1.97442498095963,109581085,351.873,311422.260304144,25.2,7599.188,1,71.23,0.699,5.3,94,32,64,44,27,42
"137","PNG",-1.55135331546446e-06,0.0316277734246613,0.953890489913545,0.84761437996489,NA,NA,NA,NA,-1.78830353367661e-08,0.0152014824630405,1,0.669685760607331,225,NA,206,44.5210223642173,44.5507954545455,44.5093777777778,-0.650091244961928,8947027,18.22,491055.268935236,22.6,3823.194,NA,64.5,0.544,NA,NA,NA,NA,NA,NA,NA
"138","POL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7475884244373,NA,NA,NA,37846605,124.027,305148.112910898,41.8,27216.445,6.62,78.73,0.865,24.1,68,60,64,93,38,29
"139","PRT",-6.7955272226612e-05,0.00585224112685293,0.726028978814293,0.435780582811962,-0.0933982389251997,0.0105529053281397,0.854065921092495,0.598968373066124,-2.82444126324312e-06,0.0200077623974757,0.902777777777778,0.934786095539326,96,79,103,59.1853267973856,73.9829032258065,49.1034615384615,43.2896599825632,10196707,112.371,90741.4457466784,46.2,27936.896,3.39,82.05,0.847,NA,63,27,31,104,28,33
"140","PRY",-0.000111646218102132,0.008492058325044,0.267982720514366,0.926575460949297,-0.283824242251433,0.00742992164772171,0.226018540863122,0.953536799805522,-2.87695950805675e-06,0.0109091079566435,0.463937621832359,0.948225160962509,270,270,271,68.0927884615385,68.9423076923077,67.9714285714286,0.267751240694793,7132530,17.144,416036.514232385,26.5,8827.01,1.3,74.25,0.702,NA,NA,NA,NA,NA,NA,NA
