"","Country","Latitude","Longitude","Cases_Resilience","Deaths_Resilience"
"1","Afghanistan",33.9241704940796,67.6885280609131,0.0313452791531194,0.0456209740026164
"2","Angola",-11.2243161201477,17.8948736190796,0.0246332454899061,0.0161780440103702
"3","Albania",41.1507339477539,20.1558589935303,0.0238542309705331,0.0601373690777076
"4","Andorra",42.5385990142822,1.57753908634186,NA,0.0529607079378523
"5","United Arab Emirates",24.3448238372803,53.9781742095947,0.0137492623842778,0.0238027423249909
"6","Argentina",-38.4173336029053,-63.622407913208,0.0156706388105014,0.0153095277412138
"7","Armenia",40.0800037384033,45.0121097564697,0.0231495927905097,0.017784194127857
"8","Antigua",17.0830564498901,-61.7865715026855,NA,NA
"9","Australia",-32.4004878997803,135.933540344238,0.0544314855081368,0.0720698537167135
"10","Austria",47.7004146575928,13.335693359375,0.0439800557317689,0.0368242596289078
"11","Azerbaijan",40.144847869873,47.5670909881592,0.020960733533328,0.0224407585954832
"12","Burundi",-3.38442397117615,29.9127931594849,NA,NA
"13","Belgium",50.5009994506836,4.44467782974243,0.0394847993384037,0.0553661332795625
"14","Benin",9.30031776428223,2.29892581701279,0.022147629007771,0.0564409680852488
"15","Burkina Faso",12.2512946128845,-1.56718730926514,0.0275471581824786,0.0590488979371387
"16","Bangladesh",23.6809816360474,90.3275375366211,0.00900583268367442,0.00639605132411338
"17","Bulgaria",42.7406730651855,25.4646968841553,0.0143787584231388,0.0128888993950338
"18","Bahrain",26.0266122817993,50.5349617004395,0.011191405446147,0.01071302027016
"19","Bahamas",23.9387454986572,-75.8664588928223,0.0564543198283627,0.0839106947269127
"20","Bosnia and Herzegovina",43.918140411377,17.6602053642273,0.0201290490961264,0.0522289721818129
"21","Belarus",53.7054214477539,27.9426765441895,0.0317214515686078,0.0112632502357151
"22","Belize",17.1854977607727,-88.5130653381348,NA,NA
"23","Bolivia",-16.3010740280151,-63.5706787109375,0.0269153836345823,0.0249511221569824
"24","Brazil",-14.2421143054962,-54.4037609100342,0.00970831282084857,0.00920495800704163
"25","Barbados",13.1899409294128,-59.5371608734131,0.0338095214483889,0.077334632233503
"26","Brunei",4.52316927909851,114.6953125,NA,NA
"27","Bhutan",27.5063724517822,90.4110870361328,0.0508215218005434,NA
"28","Botswana",-22.3208990097046,24.6710948944092,NA,NA
"29","Central African Republic",6.63315403461456,20.9172358512878,0.0347180039468507,0.0520564849975773
"30","Canada",62.3954830169678,-96.8279075622559,0.0287427264222422,0.0334182457848778
"31","Switzerland",46.8028316497803,8.21230459213257,0.0690442588573112,0.0550842791811161
"32","Chile",-36.698878288269,-87.9349594116211,0.0118593440202263,0.0168276816337906
"33","China",35.8869380950928,104.179828643799,0.0621722742035013,0.0763807526858164
"34","Ivory Coast",7.53769540786743,-5.55471241474152,0.018669951338327,0.0374254731055948
"35","Cameroon",7.37736791372299,12.358106136322,0.0172368224466639,0.0373413730990914
"36","Democratic Republic of the Congo",-4.07084965705872,21.7438473701477,0.0208829439102596,0.0190919236601929
"37","Republic of Congo",-0.658495903015137,14.8761715888977,NA,NA
"38","Colombia",4.09921860694885,-72.9507331848145,0.0132381699921567,0.0131934818457055
"39","Comoros",-11.8683595657349,43.8767070770264,NA,NA
"40","Cape Verde",16.0059332847595,-24.01171875,0.010048820857667,0.0465360222863043
"41","Costa Rica",9.63005352020264,-84.2357940673828,0.00410584291726815,0.0107031546176276
"42","Cuba",21.52294921875,-79.5120086669922,0.0275481286323036,0.0496057785185635
"43","Cyprus",35.1158199310303,33.4285144805908,0.0393042851190771,0.0285826827261663
"44","Czech Republic",49.8070068359375,15.4609861373901,0.0352568192961596,0.0269954665541085
"45","Germany",51.168773651123,10.4370605945587,0.0437065967416285,0.0308491994946499
"46","Djibouti",11.8248047828674,42.5872077941895,0.0412411357215242,0.0371336391908594
"47","Dominica",17.5706305503845,-66.6257305145264,NA,NA
"48","Denmark",56.1828861236572,11.6292967796326,0.0270110221909909,0.0441602843491105
"49","Dominican Republic",18.7747802734375,-70.1697731018066,NA,0.0142746365072121
"50","Algeria",28.0395030975342,1.64226055145264,0.0257762046211098,0.0443560494747072
"51","Ecuador",-1.76762682199478,-83.4518814086914,0.0454191392893774,0.0341145998182587
"52","Egypt",26.8249263763428,30.7873058319092,0.028449657432282,0.0187912268641025
"53","Eritrea",15.1908206939697,39.771728515625,0.110941461950286,NA
"54","Western Sahara",24.2312984466553,-12.8904542922974,NA,NA
"55","Spain",39.8952388763428,-2.45678758621216,0.0450179497796487,0.0514036729761679
"56","Estonia",58.5822486877441,25.0027828216553,0.0335105738000325,0.050577097871339
"57","Ethiopia",9.15419971942902,40.4885730743408,0.0126468442504406,0.0122436786693332
"58","Finland",64.9404296875,25.5277833938599,0.0423584486258022,0.069101329266064
"59","Fiji",-17.0914068222046,0.155174255371094,0.0922449741760317,NA
"60","France",46.2410144805908,2.39697241783142,0.0414080890989771,0.0425497397697208
"61","Gabon",-0.807055830955505,11.5918455123901,0.0273865819842233,0.0342099014944423
"62","UK",55.4266357421875,-3.19912087917328,0.0286424868668939,0.0388397773531459
"63","Georgia",42.319995880127,43.325439453125,NA,NA
"64","Ghana",7.96467304229736,-1.02834463119507,0.0350398907251972,0.0294400686213259
"65","Guinea",9.94792485237122,-12.1965088844299,NA,NA
"66","Gambia",13.4381346702576,-15.3257565498352,0.053867197728444,0.03587482596362
"67","Guinea-Bissau",11.8100342750549,-15.1926760673523,0.018909646876917,NA
"68","Equatorial Guinea",2.35920408368111,9.88481426239014,NA,NA
