"ISO","Cases_Resistance_1","Cases_Resilience_1","Cases_Reduction_1","Cases_R2_fit_1","Tests_Resistance_1","Tests_Resilience_1","Tests_Reduction_1","Tests_R2_fit_1","Deaths_Resistance_1","Deaths_Resilience_1","Deaths_Reduction_1","Deaths_R2_fit_1","Cases_Resistance_2","Cases_Resilience_2","Cases_Reduction_2","Cases_R2_fit_2","Tests_Resistance_2","Tests_Resilience_2","Tests_Reduction_2","Tests_R2_fit_2","Deaths_Resistance_2","Deaths_Resilience_2","Deaths_Reduction_2","Deaths_R2_fit_2"
"BEL",-0.000116476680504341,0.0394847993384037,0.935373948085813,0.984691436130017,-0.217814353889349,0.0417182369472287,0.968593205569004,0.950278171233884,-2.16262557793114e-05,0.0553661332795625,0.990264921800192,0.993474419150206,-0.00111190569212992,0.0527870620536897,0.785792329372618,0.966536088161772,-0.250587106363807,0.0411714787155736,0.382873825910265,0.921343628716946,-0.250587106363807,0.0140318229161372,NA,0.966280218072791
"BEN",-3.09489294821383e-06,0.022147629007771,0.877398720682303,0.96143752228733,NA,NA,NA,NA,-6.59891886612757e-08,0.0564409680852488,1,0.96125170485718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFA",-9.33824828813931e-07,0.0275471581824786,0.885245901639344,0.96663881064334,NA,NA,NA,NA,-6.12344150041922e-08,0.0590488979371387,1,0.931239568863151,-1.02950360225798e-06,0.0277029789952752,0.618959107806692,0.96916368526469,NA,NA,NA,NA,NA,0.0523589309074183,1,0.866466406675102
"BGD",-2.13745411870297e-05,0.00900583268367442,0.605415662924413,0.952272711463629,-0.231733949622593,0.0102661236305919,0.513398111074233,0.945214572355575,-2.59154532141273e-07,0.00639605132411338,0.561387066541706,0.842910486542397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR",-3.3377252032649e-05,0.0143787584231388,0.472576750603656,0.887029103859239,-0.0535219046018273,0.0158762876857007,0.614647550641523,0.954774436456294,-1.21466025851827e-06,0.0128888993950338,0.327014218009479,0.848662362646305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR",-0.000313120194548253,0.011191405446147,0.327027027027027,0.940155495147988,-0.0663323902058901,0.00978117870900436,0.544721332265351,0.952215386561018,-1.59851150369979e-06,0.01071302027016,0.588235294117647,0.924012512709932,-0.000389143521062446,0.0230820301484188,0.748519995167331,0.997657101910295,-0.04390634143032,0.018167747226088,0.626481378644395,0.974769361721133,-0.04390634143032,0.0396245647034496,0.816901408450704,0.956996948341715
"BHS",-6.50988689071527e-06,0.0564543198283627,0.984375,0.964522697768564,NA,NA,NA,NA,-1.11888680934169e-06,0.0839106947269127,1,0.921948429989382,-0.000247172267881846,0.0345099037752883,NA,0.978625160696128,NA,NA,NA,NA,NA,0.0451373283067764,1,0.938009256152355
"BIH",-1.36307594302026e-05,0.0201290490961264,0.619856887298748,0.846325264258444,NA,NA,NA,NA,-9.87559493601438e-07,0.0522289721818129,0.777777777777778,0.959068389344804,-8.85389758337486e-05,0.00224034113606326,0.190856513357202,0.469131737857813,NA,NA,NA,NA,NA,0.00609258019041342,0.227272727272727,0.374976367109632
"BLR",-9.86652903420256e-05,0.0317214515686078,0.879912476402952,0.965113183462429,-0.101987048642586,0.0260246421733823,0.871128359917939,0.900819793038735,-6.01101391306317e-07,0.0112632502357151,0.352112676056338,0.884663085509414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",-0.000132411219058909,0.0269153836345823,NA,0.974219521688641,-0.594351185718092,0.0137687819991256,0.827005470763286,0.962794335843908,-5.93847578036515e-06,0.0249511221569824,0.899019042123485,0.818187247596198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRA",-0.000217810541616626,0.00970831282084857,0.572293039305641,0.977931877523414,NA,NA,NA,NA,-5.07867426372078e-06,0.00920495800704163,0.644730991551801,0.944364107361631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB",-9.60430941187524e-06,0.0338095214483889,0.985507246376812,0.884167279715592,NA,NA,NA,NA,-9.74350230190242e-07,0.077334632233503,1,0.93129140616407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRN",-1.22519046454377e-05,0.072945299597445,1,0.78947448863366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",-2.38461817597445e-06,0.0508215218005434,0.717391304347826,0.920558466962368,NA,NA,NA,NA,NA,NA,NA,NA,-6.16890354219478e-06,0.0120627059457296,0.714285714285714,0.717259521920903,NA,NA,NA,NA,NA,NA,NA,NA
"BWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",-1.9545468474236e-05,0.0347180039468507,0.994915254237288,0.833002130641075,NA,NA,NA,NA,-3.8925297385131e-07,0.0520564849975773,1,0.943718774998619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",-4.45062003213012e-05,0.0287427264222422,0.812901843120446,0.981254326407757,-0.087209822795784,0.0321878881509138,0.908235054954423,0.973033449564558,-4.26790657460304e-06,0.0334182457848778,0.968959523218277,0.952694803583085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE",-0.000103560896621896,0.0690442588573112,0.980497166064176,0.992244227008812,-0.158346276704862,0.061734574576239,0.976379413136392,0.98013565038767,-5.77264068731861e-06,0.0550842791811161,0.991993594875901,0.961978951462385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",-0.00031027700105183,0.0118593440202263,0.721694327738176,0.840979903419259,-0.343945129475511,0.0185292846863886,0.84208534992261,0.941075927954505,-8.96202798368651e-06,0.0168276816337906,0.728227877655849,0.89533844261785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",-2.03681760348662e-06,0.0621722742035013,0.983067498055696,0.816661997597946,NA,NA,NA,NA,-6.83098561811152e-08,0.0763807526858164,0.970707892595606,0.986085455361103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIV",-1.0256925443381e-05,0.018669951338327,0.93317563571851,0.934901571377618,-0.22496817988969,0.0158242148050751,0.892795427988784,0.961235530219043,-5.76231766482076e-08,0.0374254731055948,1,0.815120079467995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMR",-1.0297649381463e-05,0.0172368224466639,0.892888498683055,0.929274256029421,NA,NA,NA,NA,-2.21503432700476e-07,0.0373413730990914,0.979591836734694,0.9269784195047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COD",-1.50243290067226e-06,0.0208829439102596,0.876337693222354,0.978146126864,-0.321553011448482,0.0117472905104825,0.751207430340557,0.872337322869417,-4.153574903761e-08,0.0190919236601929,0.913978494623656,0.824369838295081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
