"","ISO","Most_Trusted","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"126","NGA",13,NA,NA,NA,NA,13,84
"127","NIC",4.2,NA,NA,NA,NA,NA,NA
"128","NLD",58.5,NA,NA,NA,NA,NA,NA
"129","NOR",72.1,31,69,8,50,35,55
"130","NPL",NA,NA,NA,NA,NA,NA,NA
"131","NZL",56.6,22,79,58,49,33,75
"132","OMN",NA,80,38,53,68,23,34
"133","PAK",23.3,55,14,50,70,50,0
"134","PAN",NA,95,11,44,86,NA,NA
"135","PER",4.2,64,16,42,87,25,46
"136","PHL",5.3,94,32,64,44,27,42
"137","PNG",NA,NA,NA,NA,NA,NA,NA
"138","POL",24.1,68,60,64,93,38,29
"139","PRT",NA,63,27,31,104,28,33
"140","PRY",NA,NA,NA,NA,NA,NA,NA
"141","PSE",NA,80,38,53,68,23,34
"142","QAT",NA,80,38,53,68,23,34
"143","ROU",12.1,90,30,42,90,52,20
"144","RUS",22.9,93,39,36,95,81,20
"145","RWA",NA,NA,NA,NA,NA,18,37
"146","SAU",NA,NA,NA,NA,NA,36,52
"147","SDN",NA,80,38,53,68,23,34
"148","SEN",NA,77,20,46,54,9,78
"149","SGP",NA,74,20,48,8,72,46
"150","SLB",NA,NA,NA,NA,NA,NA,NA
"151","SLE",NA,77,20,46,54,9,78
"152","SLV",NA,71,27,19,88,49,48
"153","SMR",NA,NA,NA,NA,NA,NA,NA
"154","SOM",NA,64,27,41,52,32,40
"155","SRB",16.3,86,25,43,92,52,28
"156","SSD",NA,64,27,41,52,32,40
"157","STP",NA,NA,NA,NA,NA,NA,NA
"158","SUR",NA,85,47,37,92,NA,NA
"159","SVK",21.4,104,52,110,51,77,28
"160","SVN",25.3,71,27,19,88,49,48
"161","SWE",62.8,31,71,5,29,53,78
"162","SWZ",NA,NA,NA,NA,NA,NA,NA
"163","SYC",NA,64,27,41,52,32,40
"164","SYR",NA,80,38,53,68,23,34
"165","TCD",NA,NA,NA,NA,NA,NA,NA
"166","TGO",NA,77,20,46,54,9,78
"167","THA",28.9,64,20,34,64,32,45
"168","TJK",20.6,NA,NA,NA,NA,NA,NA
"169","TLS",NA,NA,NA,NA,NA,NA,NA
"170","TTO",NA,47,16,58,55,13,80
"171","TUN",13.8,80,38,53,68,23,34
"172","TUR",14,66,37,45,85,46,49
"173","TWN",30.8,58,17,45,69,93,49
"174","TZA",NA,NA,NA,NA,NA,34,38
"175","UGA",NA,NA,NA,NA,NA,24,52
"176","UKR",NA,NA,NA,NA,NA,86,14
"177","URY",NA,61,36,38,100,26,53
"178","USA",37,40,91,62,46,26,68
"179","UZB",NA,NA,NA,NA,NA,NA,NA
"180","VAT",NA,NA,NA,NA,NA,NA,NA
